Tue Apr 24 2018 10:12:06 GMT+0200 (CEST);UL;7076FFFFFE018839 .TCD_TEC_V2;010FB950;UnConfUp; major=0  FCtrl:00  FCnt:0  FPort:2  len:15 [MIC Ok]<br>encrypted: 40 50 B9 0F 01 00 00 00 02 19 13 21 81 9B 72;-94;2;868.3;12
NO DOWNLINK SCHEDULED

Tue Apr 24 2018 10:12:11 GMT+0200 (CEST);UL;7076FFFFFE018839 .TCD_TEC_V2;010FB950;UnConfUp; major=0  FCtrl:00  FCnt:1  FPort:2  len:15 [MIC Ok]<br>encrypted: 40 50 B9 0F 01 00 01 00 02 D7 4F 42 C6 5A E6;-93;14;868.5;12
Tue Apr 24 2018 10:12:11 GMT+0200 (CEST);DL;7076FFFFFE018839 .TCD_TEC_V2;010FB950;ConfDown; major=0  FCtrl:00  FCnt:1  FPort:2  len:64 [MIC Ok]<br>encrypted: A0 50 B9 0F 01 00 01 00 02 50 46 78 A7 20 97 5D 7C EC 93 67 52 AD E5 83 05 EE 76 7A 73 B7 39 9B E5 2E 05 31 76 6D A7 3A F6 FC D7 F0 D2 98 41 60 86 72 C1 C0 95 96 1F BF F6 2D D4 97 C2 C1 F0 AF;;;868.5;12
DOWNLINK RECEIVED (NOT SENT ON SF 10 869.525)

Tue Apr 24 2018 10:17:33 GMT+0200 (CEST);UL;7076FFFFFE018839 .TCD_TEC_V2;010FB950;UnConfUp; major=0  FCtrl:20 [ACK]  FCnt:2  FPort:2  len:16 [MIC Ok]<br>encrypted: 40 50 B9 0F 01 20 02 00 02 99 57 99 F1 CB 09 8F;-92;11;868.3;12
Tue Apr 24 2018 10:17:33 GMT+0200 (CEST);DL;7076FFFFFE018839 .TCD_TEC_V2;010FB950;ConfDown; major=0  FCtrl:00  FCnt:2  FPort:2  len:64 [MIC Ok]<br>encrypted: A0 50 B9 0F 01 00 02 00 02 27 CA E9 D1 48 64 52 6F 86 FC 35 E1 56 A0 74 B7 5E 25 F8 E0 ED DD 32 75 AA 43 D0 70 14 29 71 8E F3 8D A3 AA DF AF 42 70 92 51 09 23 B8 BB 6B E1 FF E0 87 7C 01 B7 8D;;;868.3;12
DOWNLINK RECEIVED (NOT SENT ON SF 10 869.525)

Tue Apr 24 2018 10:17:58 GMT+0200 (CEST);UL;7076FFFFFE010849 .DIT Kevin St_V2;010FB950;UnConfUp; major=0  FCtrl:20 [ACK]  FCnt:3  FPort:2  len:16 [MIC Ok]<br>encrypted: 40 50 B9 0F 01 20 03 00 02 D0 FD 3A 8C E8 46 11;-115;-8;868.5;12
Tue Apr 24 2018 10:17:58 GMT+0200 (CEST);DL;7076FFFFFE018839 .TCD_TEC_V2;010FB950;ConfDown; major=0  FCtrl:00  FCnt:3  FPort:2  len:64 [MIC Ok]<br>encrypted: A0 50 B9 0F 01 00 03 00 02 34 6A DA 30 41 63 CB 77 7B CB 3D 81 4F E3 A7 6C 79 32 2B 10 4E AB D9 F7 1E 94 78 4F C8 AD 3C 8F 27 4F E2 96 F1 FD 2D 64 4B F3 94 1C 19 1F F2 A9 0B 15 A5 0A 62 67 0E;;;868.5;12
DOWNLINK RECEIVED (NOT SENT ON SF 10 869.525)

Tue Apr 24 2018 10:24:12 GMT+0200 (CEST);UL;7076FFFFFE0107CD .Croke Park;010FB950;UnConfUp; major=0  FCtrl:20 [ACK]  FCnt:4  FPort:2  len:16 [MIC Ok]<br>encrypted: 40 50 B9 0F 01 20 04 00 02 AB 1C B0 E6 59 47 80;-108;-3;868.3;12
Tue Apr 24 2018 10:24:12 GMT+0200 (CEST);DL;7076FFFFFE018839 .TCD_TEC_V2;010FB950;ConfDown; major=0  FCtrl:00  FCnt:4  FPort:2  len:64 [MIC Ok]<br>encrypted: A0 50 B9 0F 01 00 04 00 02 07 A3 AC FC 9B 22 41 AE AB 16 01 B8 1E EB 1E A3 C8 80 A0 63 35 CA D2 8B 11 FC CC 90 58 1D 17 DA CC 20 3D 56 A5 1E 83 A6 C2 87 BD 98 DC 2D 16 BF 52 C2 67 3A B7 C9 CE;;;868.3;12
DOWNLINK RECEIVED (NOT SENT ON SF 10 869.525)


Tue Apr 24 2018 10:24:36 GMT+0200 (CEST);UL;7076FFFFFE0107CD .Croke Park;010FB950;UnConfUp; major=0  FCtrl:20 [ACK]  FCnt:5  FPort:2  len:16 [MIC Ok]<br>encrypted: 40 50 B9 0F 01 20 05 00 02 44 4B 04 F9 10 FC D7;-111;-7;868.5;12
